trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-135.81695137001032,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,12,-52.67875446185606,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 1}",1
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-88.35922393497609,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-138.10682498465167,"{0: 13, 1: 2, 2: 8, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-144.54889432052607,"{0: 13, 1: 2, 2: 1, 3: 1, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-69.7602973939879,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,8,-95.18481460117737,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 2}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-50.64192588732402,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-138.17222594933855,"{0: 16, 1: 4, 2: 2, 3: 0, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-144.11764948781544,"{0: 13, 1: 3, 2: 6, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-48.641031320021796,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,11,24.308298431130698,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-130.36773841952007,"{0: 16, 1: 4, 2: 2, 3: 0, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-58.04785352974289,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,20,11.056203325593772,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-127.25420764426377,"{0: 15, 1: 1, 2: 0, 3: 1, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-40.99772393770247,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,2,-42.394263999130416,"{0: 13, 1: 1, 2: 2, 3: 2, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,4.286281344505695,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,19,11.450892915038235,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,0,8.151552086338175,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",25,8,-48.338095184965226,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 1}",1
3,True,"{'a': 0, 'e': 0}",20,15,1.639313765616617,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,0,26.295165528134223,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",30,0,-24.04086554682882,"{0: 25, 1: 0, 2: 4, 3: 1, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",20,0,-42.96391187869409,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",30,3,-41.60307723473338,"{0: 23, 1: 1, 2: 1, 3: 1, 4: 1}",1
8,True,"{'a': 0, 'e': 0}",25,0,-57.768252966920954,"{0: 21, 1: 0, 2: 1, 3: 2, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",20,3,-15.658956308984003,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
10,True,"{'a': 0, 'e': 0}",30,0,-15.283016864277954,"{0: 27, 1: 2, 2: 0, 3: 0, 4: 1}",0
