trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.6, 'e': 0.9999995000000417}",30,0,-120.3162517518708,"{0: 16, 1: 3, 2: 10, 3: 1, 4: 0}",0
2,False,"{'a': 0.6, 'e': 0.9999980000006666}",30,0,-145.07926341333948,"{0: 17, 1: 5, 2: 6, 3: 0, 4: 2}",0
3,False,"{'a': 0.6, 'e': 0.999995500003375}",20,0,-35.6919769875116,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
4,False,"{'a': 0.6, 'e': 0.9999920000106667}",20,0,-62.47170784225477,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
5,False,"{'a': 0.6, 'e': 0.9999875000260416}",20,0,-129.23255722637518,"{0: 11, 1: 4, 2: 2, 3: 1, 4: 2}",0
6,False,"{'a': 0.6, 'e': 0.999982000054}",25,0,-61.1923911780236,"{0: 17, 1: 1, 2: 6, 3: 1, 4: 0}",0
7,False,"{'a': 0.6, 'e': 0.9999755001000415}",20,0,-111.9564902903503,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
8,False,"{'a': 0.6, 'e': 0.9999680001706663}",20,0,-100.79380239948745,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
9,False,"{'a': 0.6, 'e': 0.9999595002733742}",30,0,-63.27368911398183,"{0: 20, 1: 3, 2: 7, 3: 0, 4: 0}",0
10,False,"{'a': 0.6, 'e': 0.9999500004166653}",25,0,-93.76080707872055,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
11,False,"{'a': 0.6, 'e': 0.9999395006100392}",20,0,-59.9303077386363,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
12,False,"{'a': 0.6, 'e': 0.9999280008639958}",25,0,-99.79794323486875,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
13,False,"{'a': 0.6, 'e': 0.9999155011900349}",20,0,-149.9486490898267,"{0: 10, 1: 2, 2: 3, 3: 4, 4: 1}",0
14,False,"{'a': 0.6, 'e': 0.9999020016006562}",20,0,-16.286045063212658,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
15,False,"{'a': 0.6, 'e': 0.9998875021093592}",20,0,-146.63759290505914,"{0: 11, 1: 3, 2: 1, 3: 3, 4: 2}",0
16,False,"{'a': 0.6, 'e': 0.9998720027306434}",30,0,-115.32743185979737,"{0: 20, 1: 2, 2: 5, 3: 2, 4: 1}",0
17,False,"{'a': 0.6, 'e': 0.9998555034800082}",25,0,-114.10783972358335,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
18,False,"{'a': 0.6, 'e': 0.9998380043739528}",25,0,-25.008492969719114,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
19,False,"{'a': 0.6, 'e': 0.9998195054299763}",30,0,-114.33491040947793,"{0: 21, 1: 1, 2: 6, 3: 0, 4: 2}",0
20,False,"{'a': 0.6, 'e': 0.9998000066665778}",25,2,-116.3994146185001,"{0: 14, 1: 3, 2: 2, 3: 3, 4: 1}",1
