trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-72.7355852148313,"{0: 20, 1: 6, 2: 3, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-162.93037063902517,"{0: 9, 1: 1, 2: 7, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-53.12551170482718,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",30,8,-72.363822439277,"{0: 14, 1: 3, 2: 4, 3: 0, 4: 1}",1
5,False,"{'a': 0.5, 'e': 1.0}",30,19,-25.891608430569292,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
6,False,"{'a': 0.5, 'e': 1.0}",30,13,-83.74586862361083,"{0: 10, 1: 1, 2: 4, 3: 1, 4: 1}",1
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-52.07721981098081,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-89.63211514884861,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-34.77989337509626,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-96.78489028338528,"{0: 21, 1: 2, 2: 5, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-198.59233895185318,"{0: 17, 1: 2, 2: 7, 3: 1, 4: 3}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,11,5.885802688570448,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 1.0}",30,0,-228.9519133758574,"{0: 15, 1: 5, 2: 6, 3: 0, 4: 4}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-176.0892359414307,"{0: 14, 1: 1, 2: 5, 3: 3, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-77.38177503653807,"{0: 11, 1: 3, 2: 4, 3: 2, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-113.1305120448222,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-76.71478059157073,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-180.58920882782547,"{0: 15, 1: 0, 2: 12, 3: 2, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-84.81321019950978,"{0: 20, 1: 2, 2: 7, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",35,0,-184.68253153872976,"{0: 21, 1: 3, 2: 7, 3: 2, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-207.17869869484457,"{0: 13, 1: 2, 2: 5, 3: 2, 4: 3}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-89.1239629787707,"{0: 15, 1: 5, 2: 4, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-158.05843652029512,"{0: 10, 1: 1, 2: 5, 3: 2, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-149.02863486040954,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-111.30912896781709,"{0: 12, 1: 2, 2: 10, 3: 1, 4: 0}",1
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-164.95407255812225,"{0: 14, 1: 1, 2: 6, 3: 2, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-122.75820559942163,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-22.69427475951223,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-73.5133914553496,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-98.29109478087354,"{0: 18, 1: 0, 2: 4, 3: 2, 4: 1}",0
